feature,value,precision,recall,fbeta_score
education,Bachelors,0.944811320754717,0.9421448730009407,0.9434762129062647
education,HS-grad,0.9212081418253447,0.8681930693069307,0.893915259636827
education,11th,0.9433962264150944,0.847457627118644,0.8928571428571429
education,Masters,0.948663101604278,0.9662309368191722,0.9573664328116568
education,9th,1.0,0.84,0.9130434782608695
education,Some-college,0.9258687258687258,0.89812734082397,0.911787072243346
education,Assoc-acdm,0.9246861924686193,0.86328125,0.8929292929292929
education,7th-8th,0.9411764705882353,0.9142857142857143,0.927536231884058
education,Doctorate,0.9413793103448276,0.975,0.9578947368421052
education,Assoc-voc,0.9233128834355828,0.875,0.8985074626865671
education,Prof-school,0.9710144927536232,0.9901477832512315,0.9804878048780488
education,5th-6th,1.0,0.9166666666666666,0.9565217391304348
education,10th,0.8727272727272727,0.8135593220338984,0.8421052631578947
education,Preschool,1.0,1.0,1.0
education,12th,1.0,0.8275862068965517,0.9056603773584906
education,1st-4th,1.0,0.5,0.6666666666666666
