feature,value,precision,recall,fbeta_score
education,Bachelors,0.9480887210948561,0.944967074317968,0.9465253239104829
education,HS-grad,0.9195250659630607,0.8626237623762376,0.8901660280970626
education,11th,0.9387755102040817,0.7796610169491526,0.8518518518518519
education,Masters,0.961038961038961,0.9673202614379085,0.9641693811074918
education,9th,0.8947368421052632,0.68,0.7727272727272727
education,Some-college,0.9337539432176656,0.8868913857677903,0.9097195543603535
education,Assoc-acdm,0.9105058365758755,0.9140625,0.912280701754386
education,7th-8th,0.9393939393939394,0.8857142857142857,0.9117647058823529
education,Doctorate,0.967741935483871,0.9642857142857143,0.9660107334525938
education,Assoc-voc,0.9314641744548287,0.8691860465116279,0.899248120300752
education,Prof-school,0.9802955665024631,0.9802955665024631,0.9802955665024631
education,5th-6th,1.0,0.75,0.8571428571428571
education,10th,0.94,0.7966101694915254,0.8623853211009174
education,Preschool,1.0,1.0,1.0
education,12th,0.8888888888888888,0.8275862068965517,0.8571428571428572
education,1st-4th,1.0,0.8333333333333334,0.9090909090909091
